,Zip Code,City,County,Households,<10k,10k - 15k,15k - 25k,25k - 35k,35k - 50k,50k - 75k,75k - 100k,100k - 150k,150k - 200k,200k+,Median Income ($),Mean Income ($)
110,90404,Santa Monica,Los Angeles,9726,6.0,5.2,8.6,6.4,12.1,13.1,14.2,19.2,7.4,7.9,73042.0,88893.0
111,90405,Santa Monica,Los Angeles,14365,5.5,7.0,6.4,6.6,8.4,12.5,12.0,17.3,8.0,16.3,83034.0,117256.0
112,90501,Torrance,Los Angeles,14391,5.6,4.0,8.6,10.0,12.5,15.7,15.3,16.2,7.3,4.7,62590.0,80377.0
113,90502,Torrance,Los Angeles,5762,6.6,2.6,8.1,6.6,13.6,18.4,17.0,16.4,6.5,4.2,67225.0,76973.0
114,90503,Torrance,Los Angeles,16954,5.2,3.2,8.1,5.7,10.1,16.0,12.2,17.6,11.2,10.7,78290.0,98220.0
115,90504,Torrance,Los Angeles,11491,4.6,2.8,7.3,8.6,12.0,14.7,12.6,20.6,9.4,7.4,75036.0,93156.0
116,90505,Torrance,Los Angeles,14253,3.1,2.9,6.4,8.1,9.3,13.9,12.7,19.8,10.1,13.7,84450.0,112441.0
117,90506,Torrance,Los Angeles,0,,,,,,,,,,,,
118,90601,Whittier,Los Angeles,11187,4.5,3.6,7.3,10.1,10.8,18.2,13.7,14.1,8.8,8.9,69011.0,90064.0
119,90602,Whittier,Los Angeles,7949,4.5,5.2,12.8,12.0,15.5,15.9,12.1,11.4,5.4,5.1,49946.0,70370.0
120,90603,Whittier,Los Angeles,6456,5.1,1.8,5.0,4.1,6.3,14.5,15.8,28.6,11.9,6.9,92982.0,100928.0
121,90604,Whittier,Los Angeles,12015,3.7,5.1,8.3,7.8,11.7,21.5,15.4,16.1,7.8,2.6,64653.0,77319.0
122,90605,Whittier,Los Angeles,10572,3.3,2.9,9.0,8.8,12.1,19.8,12.3,20.4,6.3,5.0,67019.0,87330.0
123,90606,Whittier,Los Angeles,8741,3.4,4.5,8.9,10.3,12.5,19.3,16.4,15.7,5.9,3.2,63189.0,73833.0
124,90620,Buena Park,Orange,12922,3.2,2.1,6.9,5.9,9.2,16.0,17.0,23.9,8.8,7.0,83524.0,94615.0
125,90621,Buena Park,Orange,10096,6.0,5.1,11.2,10.0,13.0,17.9,14.3,12.3,4.8,5.4,54670.0,72448.0
126,90623,La Palma,Orange,5010,2.5,3.5,3.8,10.1,8.8,14.1,16.3,18.6,11.0,11.3,83857.0,106400.0
127,90630,Cypress,Orange,15995,3.3,2.1,4.4,4.9,10.1,17.7,16.1,21.6,10.8,9.1,84421.0,102126.0
128,90631,La Habra,Orange,21388,4.1,3.2,7.7,7.8,12.2,18.2,14.5,17.4,6.8,8.0,69425.0,93675.0
129,90638,La Mirada,Los Angeles,14665,3.4,3.9,7.1,5.0,11.5,15.2,15.1,22.0,9.7,7.1,81013.0,95486.0
130,90640,Montebello,Los Angeles,19810,4.8,6.4,14.6,12.2,14.3,17.6,10.9,12.1,4.4,2.6,47598.0,63033.0
131,90650,Norwalk,Los Angeles,27286,4.3,4.1,9.3,7.7,13.7,23.0,15.0,16.6,4.6,1.9,61050.0,72115.0
132,90660,Pico Rivera,Los Angeles,16776,5.3,4.4,8.9,8.9,14.9,20.9,14.9,15.5,4.2,2.1,57166.0,69461.0
133,90670,Santa Fe Springs,Los Angeles,4826,3.9,8.1,10.1,6.5,12.5,18.2,13.1,19.4,5.5,2.7,61071.0,74952.0
134,90680,Stanton,Orange,9019,5.7,4.6,11.0,11.3,17.1,18.3,11.4,12.3,6.2,2.1,50293.0,65241.0
135,90701,Artesia,Los Angeles,4674,5.1,5.2,8.8,8.7,15.1,20.7,8.8,17.8,5.3,4.5,58849.0,74279.0
136,90703,Cerritos,Los Angeles,15451,2.8,1.8,4.7,5.8,9.3,15.5,12.4,21.9,13.3,12.4,94752.0,113183.0
137,90704,Avalon,Los Angeles,1382,3.9,2.5,11.6,7.4,17.3,20.7,8.2,17.7,2.5,8.3,61905.0,90185.0
138,90706,Bellflower,Los Angeles,23238,5.1,7.0,10.3,10.2,16.7,19.5,11.7,12.5,3.6,3.4,50704.0,67525.0
139,90710,Harbor City,Los Angeles,9076,6.1,4.9,10.5,9.2,13.8,17.6,13.4,13.3,7.1,4.1,55176.0,72317.0
140,90712,Lakewood,Los Angeles,10522,3.3,2.9,4.2,6.7,11.7,14.9,17.5,24.2,8.5,6.1,84109.0,91657.0
141,90713,Lakewood,Los Angeles,9230,2.8,1.5,5.0,5.1,9.0,14.8,17.8,26.8,12.0,5.2,89171.0,101032.0
142,90715,Lakewood,Los Angeles,5939,3.1,3.9,6.2,10.3,13.7,17.3,17.4,17.4,7.9,2.8,66239.0,80924.0
143,90716,Hawaiian Gardens,Los Angeles,3786,8.6,7.4,19.6,13.5,15.5,18.0,8.5,7.2,1.1,0.6,35778.0,46880.0
144,90717,Lomita,Los Angeles,8459,8.6,5.0,7.3,8.5,12.7,19.0,11.1,16.0,5.7,6.1,59791.0,78935.0
145,90720,Los Alamitos,Orange,7894,3.5,1.8,4.7,6.5,7.2,15.0,12.6,18.2,12.9,17.6,96290.0,122790.0
146,90723,Paramount,Los Angeles,14017,6.2,6.0,11.5,12.5,16.9,20.0,13.6,10.7,1.7,0.9,46364.0,56316.0
147,90731,San Pedro,Los Angeles,22279,7.0,7.1,12.6,10.9,13.5,14.6,10.0,13.9,5.8,4.6,48697.0,69560.0
148,90732,San Pedro,Los Angeles,8567,2.0,3.2,7.5,6.5,10.2,13.8,12.4,23.6,9.3,11.5,86594.0,105509.0
149,90740,Seal Beach,Orange,12276,5.3,5.7,12.4,10.6,10.4,13.6,10.1,14.3,7.5,10.1,59875.0,94636.0
150,90742,Sunset Beach,Orange,334,6.0,0.0,0.0,6.0,6.9,26.9,21.6,9.9,10.8,12.0,76667.0,115649.0
151,90743,Surfside,Orange,167,9.6,9.6,0.0,0.0,14.4,13.2,0.0,13.8,10.2,29.3,109028.0,130259.0
152,90744,Wilmington,Los Angeles,14385,6.3,5.8,15.1,14.0,14.6,20.0,11.0,8.6,2.9,1.8,42112.0,57041.0
153,90745,Carson,Los Angeles,15095,3.6,4.3,9.0,6.4,10.4,18.7,16.6,19.4,6.9,4.6,71813.0,83425.0
154,90746,Carson,Los Angeles,8118,3.3,1.9,6.4,6.1,10.1,18.0,14.3,26.5,7.1,6.6,80175.0,92056.0
155,90747,Carson,Los Angeles,0,,,,,,,,,,,,
156,90755,Signal Hill,Los Angeles,4102,4.5,4.8,7.9,9.3,12.3,15.5,15.0,15.1,6.7,8.9,70357.0,87702.0
157,90802,Long Beach,Los Angeles,20610,8.8,9.1,12.3,9.9,12.5,16.4,12.0,10.7,4.3,3.9,45689.0,64918.0
158,90803,Long Beach,Los Angeles,16785,4.1,1.9,7.2,6.9,10.0,18.2,12.4,17.8,9.8,11.7,78406.0,113301.0
159,90804,Long Beach,Los Angeles,14626,8.9,7.8,11.5,9.2,15.8,19.8,12.1,8.5,3.4,2.9,46790.0,60108.0
160,90805,Long Beach,Los Angeles,26343,8.1,6.7,12.4,10.5,15.8,17.1,13.3,11.2,3.4,1.5,45878.0,59376.0
161,90806,Long Beach,Los Angeles,12509,7.4,7.6,13.9,11.5,11.4,20.2,10.5,11.2,4.1,2.1,47034.0,59282.0
162,90807,Long Beach,Los Angeles,12589,3.4,3.4,7.4,6.1,12.4,19.0,14.5,16.5,8.0,9.4,72401.0,95053.0
163,90808,Long Beach,Los Angeles,13920,2.9,2.6,6.1,4.0,7.8,13.5,14.7,22.1,12.9,13.3,97500.0,116022.0
164,90810,Long Beach,Los Angeles,9132,5.5,6.7,10.9,12.1,13.8,17.4,13.1,13.3,4.6,2.7,51271.0,65360.0
165,90813,Long Beach,Los Angeles,16683,8.6,12.3,18.1,15.7,16.0,14.6,6.4,6.0,1.7,0.6,31775.0,42735.0
166,90814,Long Beach,Los Angeles,9042,5.6,5.2,7.4,8.3,11.9,19.8,14.5,13.8,6.7,6.8,61093.0,81189.0
167,90815,Long Beach,Los Angeles,14343,5.3,2.9,6.5,7.0,8.1,17.5,14.3,19.6,8.8,10.0,79809.0,98309.0
168,90822,Long Beach,Los Angeles,0,,,,,,,,,,,,
169,90831,Long Beach,Los Angeles,0,,,,,,,,,,,,
170,91001,Altadena,Los Angeles,12739,4.0,3.1,7.3,5.4,8.4,14.7,12.6,17.7,11.7,14.9,89906.0,120377.0
171,91006,Arcadia,Los Angeles,10403,4.6,2.5,6.7,7.9,7.5,13.6,11.2,18.4,11.6,16.0,90829.0,122830.0
172,91007,Arcadia,Los Angeles,11647,6.5,4.0,7.2,8.0,9.2,14.9,11.3,17.5,9.7,11.8,75353.0,102684.0
173,91010,Duarte,Los Angeles,7742,5.5,4.3,9.2,8.0,12.7,18.3,12.9,19.0,7.1,3.0,63090.0,76135.0
174,91011,La Canada Flintridge,Los Angeles,6682,1.9,1.5,4.1,4.5,5.2,7.0,6.1,17.2,12.2,40.4,158281.0,229963.0
